Nome;Sobrenome;NomeCompleto;NomeUsuario;Email;Senha;Administrador;CPF;Telefone;RazaoSocial;CNPJ;Endereco;NumeroEndereco;Cidade;Estado;CEP;Pais;NumeroCartao;ValidadeCartao;NomeProduto;Preco;DescricaoProduto;Quantidade;NomeCategoria;DescricaoCategoria;TituloArtigo;ConteudoArtigo;NomeAutor;DataPublicacao;ID_USUARIO;STATUS_CADASTRO
="Alverta";="Zemlak";="Alverta Zemlak";="alverta.zemlak";="zemlak.alverta@bol.com.br";="ZemAl40";="true";="31025785940";="12672676320";="Alverta Zemlak LTDA";="23388324000144";="Kassandra Points";="7183";="Lethaton";="Minnesota";="06691351";="Philippines";="6011856029115408";="03/28";="Monitor 4K Veloz";="3149.40";="Um excelente monitor 4k veloz da categoria Redes e Conectividade, ideal para suas necessidades.";="62";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="A Incrivel Jornada ate Buracos Negros";="Uma analise sobre o tema A Incrivel Jornada ate Buracos Negros. Exploramos a relevancia de Buracos Negros para a area de Universo e Astronomia.";="Alverta Zemlak";="2025-08-15T19:37:03.873Z";"=""a3b43ac5-da58-4d7f-98bf-30e0ad0a1d30""";"=""Cadastrado com sucesso"""
="Ansel";="Satterfield";="Ansel Satterfield";="ansel.satterfield";="satterfield.ansel@gmail.com";="SatAn92";="true";="77170166992";="18485214497";="Ansel Satterfield LTDA";="13685415000198";="Darryl Parkways";="9646";="North Jodymouth";="Massachusetts";="54115783";="Bahrain";="4916110930022209";="02/27";="Smartphone Resistente";="1133.85";="Um excelente smartphone resistente da categoria Hardware, ideal para suas necessidades.";="100";="Hardware";="Descricao para a categoria Hardware";="Uma Introducao a Genetica";="Introducao ao topico Uma Introducao a Genetica. Discutimos os conceitos basicos de Genetica aplicados a Ciencia e Fisica.";="Ansel Satterfield";="2025-08-15T19:37:04.948Z";"=""4f78b228-00b8-4d8d-8793-e60d8cbaa064""";"=""Cadastrado com sucesso"""
="Kelly";="Nikolaus";="Kelly Nikolaus";="kelly.nikolaus";="nikolaus.kelly@hotmail.com";="NikKe60";="true";="04527513060";="15514968721";="Kelly Nikolaus LTDA";="43010952000107";="Buckridge Shoal";="9523";="Monserratstad";="Rhode Island";="01292362";="Guam";="6011631113731273";="08/28";="Memoria RAM Ultra-fino";="3246.92";="Um excelente memoria ram ultra-fino da categoria Componentes, ideal para suas necessidades.";="60";="Componentes";="Descricao para a categoria Componentes";="A Receita Perfeita de Comida Vegana";="Uma analise sobre o tema A Receita Perfeita de Comida Vegana. Exploramos a relevancia de Comida Vegana para a area de Gastronomia e Culinaria.";="Kelly Nikolaus";="2025-08-15T19:37:05.933Z";"=""03d4a408-c358-4778-9080-4427b390f3c7""";"=""Cadastrado com sucesso"""
="Donald";="Botsford";="Donald Botsford";="donald.botsford";="botsford.donald@aol.com";="BotDo13";="true";="79987261213";="19593463061";="Donald Botsford LTDA";="50041885000145";="Ross Springs";="60376";="West Tess";="Tennessee";="58396211";="Somalia";="4485752944884651";="04/28";="Camera Digital Conectado";="626.84";="Um excelente camera digital conectado da categoria Impressao, ideal para suas necessidades.";="24";="Impressao";="Descricao para a categoria Impressao";="A Busca por Materia Escura";="Este e um artigo sobre A Busca por Materia Escura. O foco principal e em Materia Escura no campo da Universo e Astronomia.";="Donald Botsford";="2025-08-15T19:37:06.949Z";"=""0d6827dc-543f-4856-951e-7b15f7f5e870""";"=""Cadastrado com sucesso"""
="Valentine";="Becker";="Valentine Becker";="valentine.becker";="becker.valentine@msn.com";="BecVa03";="true";="97842417903";="14253934323";="Valentine Becker LTDA";="21882932000185";="Paucek Greens";="88474";="Mrazton";="Ohio";="78530486";="Nepal";="2689401287242394";="02/26";="SSD Externo Veloz";="4469.92";="Um excelente ssd externo veloz da categoria Dispositivos Moveis, ideal para suas necessidades.";="69";="Dispositivos Moveis";="Descricao para a categoria Dispositivos Moveis";="Otimizando Performance com APIs REST";="Este e um artigo sobre Otimizando Performance com APIs REST. O foco principal e em APIs REST no campo da Programacao.";="Valentine Becker";="2025-08-15T19:37:08.009Z";"=""38758140-89be-40e7-b39c-bbd0108b61af""";"=""Cadastrado com sucesso"""
="Yadira";="Schaefer";="Yadira Schaefer";="yadira.schaefer";="schaefer.yadira@live.com";="SchYa50";="true";="50856892750";="13526565257";="Yadira Schaefer LTDA";="05112973000136";="Ebba Court";="4842";="East Esteban";="Hawaii";="78211381";="Nigeria";="4916778591038761";="10/25";="Cadeira Gamer Conectado";="589.04";="Um excelente cadeira gamer conectado da categoria Impressao, ideal para suas necessidades.";="2";="Impressao";="Descricao para a categoria Impressao";="Os Limites do Conhecimento em Neurociencia";="Este e um artigo sobre Os Limites do Conhecimento em Neurociencia. O foco principal e em Neurociencia no campo da Ciencia e Fisica.";="Yadira Schaefer";="2025-08-15T19:37:08.959Z";"=""80d9a7f4-460b-4b71-b92a-b21407e21c5d""";"=""Cadastrado com sucesso"""
="Taylor";="Jenkins";="Taylor Jenkins";="taylor.jenkins";="jenkins.taylor@ig.com.br";="JenTa04";="true";="72910356604";="16297438879";="Taylor Jenkins LTDA";="04089601000173";="Skiles Prairie";="75237";="West Lorenza";="Minnesota";="09334409";="Iran";="3589433246117317";="09/25";="Oculos de Realidade Virtual Profissional";="2264.82";="Um excelente oculos de realidade virtual profissional da categoria Dispositivos Moveis, ideal para suas necessidades.";="92";="Dispositivos Moveis";="Descricao para a categoria Dispositivos Moveis";="Como Inteligencia Artificial Esta Moldando o Mundo";="Introducao ao topico Como Inteligencia Artificial Esta Moldando o Mundo. Discutimos os conceitos basicos de Inteligencia Artificial aplicados a Tecnologia.";="Taylor Jenkins";="2025-08-15T19:37:09.927Z";"=""2d435933-756d-43f4-b491-b4750fb82ecc""";"=""Cadastrado com sucesso"""
="Garett";="Cummerata";="Garett Cummerata";="garett.cummerata";="cummerata.garett@uol.com.br";="CumGa56";="true";="24441703856";="14428562802";="Garett Cummerata LTDA";="91616419000128";="Feil Station";="373";="North Deonborough";="Massachusetts";="01495665";="Egypt";="4485955577399";="03/28";="Projetor HD Inteligente";="2629.05";="Um excelente projetor hd inteligente da categoria Fotografia, ideal para suas necessidades.";="90";="Fotografia";="Descricao para a categoria Fotografia";="O Impacto do Desmatamento no Planeta";="Este e um artigo sobre O Impacto do Desmatamento no Planeta. O foco principal e em Desmatamento no campo da Meio Ambiente.";="Garett Cummerata";="2025-08-15T19:37:10.931Z";"=""e9d4b324-ba2b-484e-afb6-7afb0053aac4""";"=""Cadastrado com sucesso"""
="Destin";="Becker";="Destin Becker";="destin.becker";="becker.destin@live.com";="BecDe38";="true";="22039470638";="17739858977";="Destin Becker LTDA";="11986639000104";="Einar Islands";="83494";="North Earnest";="Florida";="37603217";="Czech Republic";="2674866605089957";="03/28";="Oculos de Realidade Virtual Profissional";="4438.65";="Um excelente oculos de realidade virtual profissional da categoria Audio e Video, ideal para suas necessidades.";="87";="Audio e Video";="Descricao para a categoria Audio e Video";="A Busca por Nebulosas";="Este e um artigo sobre A Busca por Nebulosas. O foco principal e em Nebulosas no campo da Universo e Astronomia.";="Destin Becker";="2025-08-15T19:37:11.879Z";"=""839f18e2-9739-416c-b10d-30addc7431ac""";"=""Cadastrado com sucesso"""
="Imogene";="Schinner";="Imogene Schinner";="imogene.schinner";="schinner.imogene@aol.com";="SchIm09";="true";="87344830809";="17813422101";="Imogene Schinner LTDA";="54169105000106";="Libbie Neck";="1120";="Port Zoey";="Maine";="30865632";="Macedonia";="4929667653188";="03/27";="Roteador Wi-Fi 6 Veloz";="1719.69";="Um excelente roteador wi-fi 6 veloz da categoria Fotografia, ideal para suas necessidades.";="16";="Fotografia";="Descricao para a categoria Fotografia";="A Busca por Nebulosas";="Uma analise sobre o tema A Busca por Nebulosas. Exploramos a relevancia de Nebulosas para a area de Universo e Astronomia.";="Imogene Schinner";="2025-08-15T19:37:12.863Z";"=""1359bd7c-72ed-4287-ac1e-32b64bbe9d99""";"=""Cadastrado com sucesso"""
